,Title,Content
132,MISSING GRAY/WHITE PIT (NEAR 7 BROTHERS),"* This is Not My Dog, Posting For a Friend * 

MISSING GRAY/WHITE PIT (NEAR 7 BROTHERS)

Have you seen Rocko? 

Rocko and his brother Panther got out of their fenced yard on November 30th. Panther has since been returned back home, but the family is now requesting additional assistance in bringing  their other baby home. 

Rocko is a gray and white pit. (White feet, chest and a white line between his eyes headed around his mouth and a pink nose with a black spot on it.)
One picture (face) was taken when he was younger and shown for detail. He is much bigger now. The screenshot of him in the alley between 11th and Laurel was taken by his owner (Shay Wallace) the day he got out. 

Please reach out to Shay with any details.

Thank you in advance. 🙏🏼    "
133,Ring found at rest stop,"Ring found on floor in women's bathroom at Indian Meadow service plaza. I'd love to help it return to its owner. If you think it may be yours, please message with a description or picture of your lost ring. Thanks, and happy Thanksgiving!    "
134,dog leash,"Found a dog leash set up with 2 important pieces attached. 
Must give details to prove ownership.    "
135,Found Tool Box,Found red tool box on I75 entrance ramp at Middletown.  Found Tuesday early afternoon.  Identify it and contents and it can be yours.    
136,found male cat,"Black and white male cat found in Westwood.  Please text if you lost him or know where he belongs. Thanks. 

Four two 9-zero 9 five zero    "
137,Lost Class Ring,"I worked with an electrician (Lipps Electrical) from 1998 to 2000.  We installed 2 ceiling fans in someone's home that had two daughters in college.  While doing the attic work, I had my class ring in my pocket and when I pulled some screws out of my pocket to make a brace for one of the ceiling fans, my class ring came out of my pocket and fell in the insulation, so I didn't here it drop.  If you know someone that had some work done by this company, please call me at  show contact info
  Jeff Hans.    "
138,necklace,"Lost bronze Raven skull URN on a chain
Medium length
Lost at coins sports bar on November 5, 2021 (Friday)

REWARD if returned    "
139,Lost Dog chihuahua mix,"Name cheddar 
Chihuahua mix reddish coat with white stripe running from head down nose. About 3 years. Was wearing a collar. 
Lost 11/1 in running dear/knotting wood Estates 
I am posting this for my sister.    "
140,Found keys in oregon district,If you can give me a description and it matchs yhen you may get your keys    
141,Lost keys in a brown vest Northside,"I lost a set of car keys in Northside on Wednesday. They could be in a brown vest jacket. The keys have a BMW keychain. Reward offered, no questions.    "
142,LOST Milwaukee Cordless Impact,"Red tool case with Milwaukee Cordless Impact with sockets fell out of my pickup truck Monday, November 22, 2021 between 1:15 PM, and 2:00 PM. I found some other things that fell out, but not this case with the tool and sockets in it. The other items were found at the corner of 61st Street, and 7th Ave near Library Park. Please, Please, Please, return this tool, and any other items you picked up. If you found the case anywhere near the corner of 60th Street, and 5th Ave, along 5th Ave to 61st Street, along 61st Street to 7th Ave, or along 7th Ave to 91st Street, please contact me.
"
143,Lost dog - Roxie Rae,"My newly adopted dog got out the day I adopted her. She is wearing a mint green collar with white markings. She was last seen in the area of the blue dot on the map in the image. She is timid and likely won’t respond to her name. Do not chase her. She is microchipped. She is all black with a patch of gray under her jaw. If presented with water, food, or a treat she may approach.    "
144,lost cat,"Louis was lost about oct 26, around Wilmington pike. He’s a really adventurous cat thats supper sweet and friendly. If anyone has seen him they can contact me at  show contact info
. There is a reward for Louis for $200. If anyone sees him please let me know!!    "
145,Plastic pool case with tools,plastic case full of tools. In the Area of  Evendale Sharonville location. Fell out of truck. $40 reward    
146,Lost cat,"Missing Cat
“Little Joe” has been missing for a week now. He is a brown,black, and grey tiger cat. Domestic short hair.
He is over weight and has a big belly. See Picts.  He is very shy and skittish. He has been an indoor outdoor cat all his 8 yrs of life, but he never has been out this long.  If you have seen my cat in the neighborhood please call and let us know where. We are missing him terribly and would love to get him home again. Please call with any info or sightings. thanks call  show contact info
.
"
147,FOUND Kitten,"Tabby kitten with white markings found on Loop Rd, Centerville, near Alex Bell. Very friendly, obviously lost. Call or text  show contact info
.    "
148,found trailer ramp,"found trailer ramp union area
call me with a description of it and its yours    "
149,glasses found,"found what looks to me like a pair of young girls glasses, behind car repair shop on 22nd av and 50th st, red multicolor and translucent, brand is fister grant. text or call    "
150,Two Black Female Cats,"All black female cat, Midnight, very shy, keeps to herself, does not like to cuddle, scared, and Penelope skinny, small, black cat with white on her paws,legs and neck. Loves people, friendly, full of energy and loves to play.    "
151,Missing cat,"Orange tabby tiger stripped cat
His name is Joker
Friendly at the time - but he has been gone for awhile so I have no idea what he has been thru!
Missing since July 16. 2021
No tags - (he was not an outside cat)
He is up to date with all of his shots
Had a black collar with bones on it
He is declawed in the front
Has 2 little marks on his nose
Has a white tip on his tail

Please text or call Renae at  show contact info

If no answer leave a msg 


"
152,Found ring,"10k woman's ring on Central Parkway near The Pitch, 11/17/21 - message me with description    "
153,Found husky Shepherd,This dog was found new Carlisle pike just outside of new Carlisle city few days ago looks like husky shepherd. No collar anyone recognize  please email with proof ownership    
154,Lost key Fob,Lost my Infiniti key fob last Saturday evening (10.30.21) when attending the NAACP dinner at the Duke Energy Convention Center.  It was lost either outside the building on the 5th street side entrance; closer to where Central and Elm streets meet.  OR inside the building downstairs or upstairs where the event was held.    
155,Young cat found,"A young cat followed my cat home, early this morning.11/10
Very fluffy.
Please identify markings.    "
156,Lost Cat Siamese tabby mix,"Hello, our Cat Baby the Escape Artist is missing for 1 week and we are worried sick, she is skittish by nature doesn’t really go to people, if you have seen or heard anything please call  show contact info
"
157,lost prescription glasses,Large round navy plastic and gold metal prescription glasses. Reward if found    
158,Found  a Dog,"Found a small black and white dog. Male, little under a year old. 

Near Quinn Park in Mason Ohio.    "
159,Lost Gray Cat,"Enzo the cat went missing from his home in East Walnut Hills on 10/17. He is very loved and missed by his owners. 

He is a gray and white cat, all gray coat with white face, white belly, white paws. Normal weight/ slim. 

He is indoor only and we have searched thoroughly through all the surrounding yards many times, checked shelters, vets, etc. 

Unfortunately no microchip, no collar. He is approximately 11-12 years old. 

Cash reward.    "
160,Found kind of large empty black purse,"Found on Walnut St .. close to
   W bound Central Parkway
  has a letter ""_"" engraved on the zippers??    "
161,Found - Earring,Silver finish earring with diamonds found at downtown hotel in room on November 6. Give name of hotel and description of item to claim.    
162,Tea-cup Chihuahua missing!!!!!!,"My name is Sherry and I was in an car accident on November 18, 2021. When I was taken to the hospital, I had my dog ""Charlie"" with me and someone had stolen my baby after I was carried to the ambulance and before my fiancee got there to get him. I know he was scared. He is black and white and no more then maybe 10 pounds. He's very little and he's a very sentimental pet. He's a certified service dog for autism for my daughter Mia who is 6 years old and his original owner (my best friend) I tried to save from an overdose about 4 years ago and couldn't, he was already brain dead and Charlie was his baby. So when I say he's a very sentimental pet, I mean he's very important to me and my kids and my family and he is very missed. Please please, if you any information or you might have seen him. Please call or email me ASAP! He goes by the name Charlie. Thank you    "
163,Lost Dog Found,"We found a dog in the parking lot at Traditions of Beavercreek on Shakertown Rd.  It was on the evening of October 28. If you lost a dog in the area call me at  show contact info
"
164,Lost  Gold and stainless Rolex watch,Gold and stainless Rolex watch. Lost November 2nd    
165,Lost Dog- Black Yorkie Poo,"MISSING 
Bella has been missing for a few hours now. She would be in the Fort Wright/Park Hills area. We’re not exactly sure how or when it happened. We have called all local animal hospitals and shelters with no luck. She’s 15 and suffers from dementia so she can easily get turned around or stuck somewhere. If you see her please contact us. She scares easily so approaching her is not the best idea. Any information is greatly appreciated.    "
166,Lost.  Gold and stainless watch,lost Gold and stainless Rolex watch    
167,Thank you St. Jude for prayers answered,Thank you St. Jude for protecting my two pets during their surgery recently. I know that you heard my prayers and listened and watched over them and helped the doctors to successfully and lovingly navigate from through the surgery to a positive outcome and a healthy result. Say the prayer to St Jude when you are worried as well as giving thanks to Saint Francis of Assisi and repost after these Saints hear your intercession and provide the wonderful result for you and your little friends. Thank you again Saint Jude. You can also say the prayer when you have lost your pets or something else valuable or are in desperation and at your wit's end!    
168,Ladies Watch at Panera,If you describe details and make I will tell you where to pick up it’s a ladies found at 2-30 pm Tuesday afternoon by Panera    
169,Anyone missing a dog? Loose Dog-- Fairborn.,"Anyone missing a brown and white male pitbull? 

No collar or tags. 

Found in Fairborn, very nervous will not allow anyone to get close to him. It is cold outside, and I am terrified that he will get hit by a car, freeze or starve. I have tried to get him close to me with dog treats, will not get close. Email me, if you know this poor baby. I do NOT have him, I can just tell you the last location I spotted him. He will not allow anyone to get close to him.    "
170,Angel,"We talked for awhile. You responded to my post about missing manhood. Where you at""    "
171,Found Lanyard w/ Ford Mustang keyfob and 2 random keys,"Found a keyfob for a Ford Mustang and 2 random keys attached to a leopard print lanyard hanging on the railing near my front door.

I don't know anyone with a Mustang, and have no idea how these keys ended up here. Hoping someone does, and if you do, please let them know they can be picked up at the Fairborn Police Station.    "
172,Ring found,"Found a ring while metal detecting and trying to find its owner.  Contact me with details to verify it's yours.    ie type of ring, any stones in it, inscriptions or markings etc.  The zip code is where I live, not where ring was found.

PS  If you've lost your ring, or other metal item, and know a pretty close area where it was lost, we'd be glad to try and find it for you.  No charge; we like the challenge and reuniting people with stuff they thought they'd never see again!  The latest one was a class ring lost 55 years ago!  :)    "
173,Lost Cat from Weller & Weil Rd,"Rocky has been missing since Oct 23rd. We've been searching & trying every avenue possible. Still hoping for his safe return! 
He's fixed, chipped but no color. He's apx 12pounds. Loves to play in the woods/outdoors & climb trees. 
He's tan with a white bib & paws. Short to medium hair. Friendly    "
174,Lost cat - white calico,"Our two year old cat when missing December 2 in the Barbour Manor neighborhood. Her name is Baby Billie. She is a small, long haired dilute calico. Please call  show contact info
 with any information of her whereabouts.    "
175,Looking for some Free Moving Boxes,"I'm Looking for some free recycled Boxes I'm in the process of moving and need boxes Small Boxes Large Boxes totes, milk crates, even old T.V. Boxes. If you are your work have any, I can come and pick them up' I have to move December 15th. and anything you find please contact me at (five zero 2) 5three 6 dot 7498    "
176,Ham lost on Coachlight Way,"Delivered to the wrong address!  If you received a Neuske's ham, delivered yesterday 11/21/2021, it was sent to you by mistake.  It should have gone to Erin O. at her new address in West Chester.  If you'd reach out to me I could direct her to come pick it up.  Also, I mailed a birthday card, which would have arrived in the vicinity of 10/20/2021.  Good news is - I have the new address now!  Thanks for your  help!

G.    "
177,LOST _//DOG//_ - BLACK AND WHITE/ SIBERIAN / MALE - $$ Reward $$,"**MISSING SINCE 11/05/2021 AT 09:00 PM**

SCOUT AND TITAN are MALE, BLACK, WHITE, SIBERIAN HUSKY’s who escaped and were last seen near Gittings and Old Fancher Road.

SCOUT and TITAN are wearing their collar with tags and are microchipped.

If you see SCOUT and TITAN please DO NOT CHASE THEM.

PLEASE CALL OR TEXT ONLY.

show contact info


$$ Reward $$

"
178,Found black and white cat - deceased,"Found- Black and white cat - deceased (Sorry)- No micro chip

Large deceased black and white cat. Probably around 15 lbs. All black on the back and white on stomach and paws. No crazy unique markings besides on the back right leg. Black on face only goes halfway through eye and then turns white. Unknown eye color. Unknown sex. Found on highway 11/ Durand Ave. About a block west of highway 31. Not posting pictures for obvious reasons. If you think this could be your cat, please text me at (414) 758-three-seven13 Ed    "
179,Lost Cat - black and gray,"Very friendly adult, fixed, indoor / outdoor, male cat went missing from his loving home in Clifton neighborhood on 11/11. He is a mostly black and gray tabby, with a clipped, right ear. About 2 years old. Please text if you have any information on his whereabouts.  show contact info
.    "
180,Missing tabby cat,Our neighbor has been missing her tabby cat for a few day from N Hite Ave between Frankfort and Brownsboro. He always stays close to home and is somewhat timid. His name is George. Please let me know if you’ve seen him. Thank you.    
181,Found  gold wedding band,"Found
Gold wedding band
at Holland state park
describe engraving    "
182,"Lost Tabby/Calico Cat, Female","My kitty Shimmy is a ten year old american shorthair and is a large kitty, about 13lbs in size. She's a female calico tabby mix with four white paws, white nose, white chest, and one orange hind leg. No collar. Probably very shy and possibly hiding. Lost on Ormsby Ave in the Shelby Park neighborhood in Louisville. Please help me find her! Please text.    "
183,MISSING CAT -- Have you seen Ferris?,"After hours of searching our home we are worried that Ferris may have escaped. He is not used to being outdoors and we have not had luck finding him.

He's fluffy, grey and white Maine Coon with green eyes, a grey spot on his chin, and a scar across the bridge of his nose. He's very vocal and friendly but may be skittish due to unfamiliar surroundings. He has all of his claws and may chirp instead of meow. This is cross-posted to local pet groups. 

Please reach out here or to 6 zero 8 two 4 seven 63 four 4 if you have any information or spot him. Thank you.    "
184,Gucci wallet,I found this wallet at the mall at the food court. If you lost a Gucci wallet call or text. I can meet up somewhere Public and return it to you. I know how it is to lose a wallet and want to do the right thing. Any questions or tips give me a call or text.    
185,Found Rough Rider knife at Caesars Creek,Rough Rider knife found while shoreline fishing at Caesars Creek. Likely a recent loss because it is in good condition. Respond with the type/description of RR knife found and I will mail it to you.    
186,Bloodhound works to find missing dogs and cats,"Bloodhound and Pet Detective works to find missing dogs and cats.
Most of the pets we have searched for are now safe and home.
Jim Berns Pet Detective.
17 years Experience. 
Call For free advise.    "
187,Stihl chainsaw and box of accessories,"On Nov. 29 between 130 -2 I was driving north on 68 towards Yellow Springs, either my pick up tailgate came open or I forgot to close.

Either way my Stihl 260 chainsaw and box of chains, gloves and other accessories fell out.

If found I will give you $100, really want the box of stuff more than the saw, 

Thanks    "
188,Lost cat; $100 reward if found!,"Hi! My baby Kimchi got outside on November 7th and I believe she’s gotten lost. May have been spotted around 3 mile as well. Please call or text if found at  show contact info
. $100 if found! Thank you!    "
189,Lost Cat,"Lost cat named ""Tendo"" large gray, Russian blue breed last seen on Winged Foot Dr Saturday 12/4/21 at 11:30 p.m.
He has a turquoise collar with a gold bell. He's large, declawed, neutered and microchipped. He's dearly loved and missed. Please help us find him. Cash reward  show contact info
 Thank you for your help and support - Melissa    "
190,Missing items *especially paperwork saved on computer.,"This is a long shot. I lived at La Fontenay apts around 2015-2017. I had not got everything out yet and management put all my belongings outside. Including my computer!! Its the old one with the tower or whatever. I had EXTREMELY important paperwork on there for a legal case. The only PROOF I had! Plz if anyone claimed that computer plz, plz get in contact with me!!
Thanks
D.    "
191,Found musical instrument,Found musical instrument in case on Clifton Road in between Highway 68 and Hwy 72.  I think that area is Xenia. Please message me to describe and claim.    
192,Found Necklace,Found necklace in the parking lot between 7th and 8th St just east of Columbia Ave after the Light Parade Tuesday evening.  Must be able to identify.    
193,"Lost/Stolen Cloth Purse with large set of keys, and other items I can describe.","On a Monday in October late afternoon my cloth purse with cat back ground went missing. The large group of keys are my back up keys and several other items are sentimental. Please contact me if you found this in the parking lot, or in a ditch or yard thanks. Please send me a text to  show contact info
 Reward.    "
194,Found Dog Yorkie we think PRP,"We found a lost Male Yorkie tan black in color.

Maybe 4 -5 years old or so Sun 10/24/21

He Was wet cold has Orange Harness

Don't worry dog owners here we have 2 of them ourselves. ( will take to Vet Mon 10/25 to check for RID tag)

He has been fed and will get a bath and has a temp doggie bed to lay on if this goes past Tuesday.

He is in good hands as we love doggies. ( lab owners and coon hound owners here) BIG Dogs!

Call 502  Seven 0 9 3451 Ask for Ron    "
195,Chevy Truck key on a Alabama lanyard.,A bunch of keys on chain but only vehicle  key is for my truck.    
196,Black wallet PRP Kroger,"I don't know how I dropped it, but I know that I did. Then you picked it up...and did what with it? I keep thinking it will turn up in the lost & found or even my mail box, but it has been over a week now and nothing. It would be the biggest thing in the world if you would just give it back. There is nothing in it of any value or use to you. What possible reason could you have for not taking two minutes to do such a good thing? Unless you just kept it to use my Malibu Jack's card. And fine. Keep it. It's something like 8,000 tickets and maybe $40. It's literally the only thing I get to do with my kids - if I even get to see my kids, but that has pretty much stopped altogether and no one really seems to care but me. So have at it. I just need my ID. I wouldn't ask questions, I would just give thanks.    "
197,FOUND CAT,"Found orange and white cat. Super friendly, very clean. Seems like a pet. 

Text or call if you think it’s yours and I’ll be glad to talk to you!

I get a lot of scam phone calls so text if I don’t answer!    "
198,Reward for lost dogs!,Neutered male German Shepherd and a neutered male Redbone Coonhound disappeared while visiting family from out of state.    
199,Found,"Found a little blue cosmetics bag in the parking lot of Kohls in Findlay, OH. Tell me the contents of the bag and I’ll get it to you.    "
200,LOST ENGAGEMENT RING (REWARD OFFERED),Lost - pear shaped engagement ring approx. Thursday October 7th.    
201,Lost cross and chain;  long ago,"It was years ago now. I realize finding them is all but hopeless. And yet, I still feel compelled to try. My son got plastered at a New Years Eve party [Years ago] He realized the next morning his Cross and Chain, which had been a gift, with considerable sentiment attached, was missing. I have zero interest in causing anyone any trouble. I realize whoever might have the items now, quite fairly considers them to be theirs. I would like to purchase them, if you have them. They are unusual enough to be recognized apart from others. If you have them, and would consider selling them, email with pictures and we can talk price.    "
202,Two dogs found near Jefferson and 251,"Two dogs found near Jefferson and 251. One is all white I think it's a Samoyed, the other is what I believe to be an Australian Shepherd. Are both boys.    "
203,Lost bird,"My heart is distraught, and I’m upset, crying and sad. Charlie my conure flew out the front door tonight, and my sister and I tried for almost 2 hours to get him. But he kept flying from one tree to the next. We could see him each time, and he was talking to us. But he would not get close enough for us to get him. Two neighbors even tried helping. We live on Holiday Drive so if you see him, please let me know. You can try to grab him if you want, but make sure you do so with a towel. He can bite hard. Please pray that he comes home or we’re able to find him tomorrow. I’m so worried bc it’s really cold outside, and I also don’t want some animal to get him.    "
204,LOST CAT “COCO”,Small silver-gray and white. Very shy.    
205,Pocket knife found,"On Thursday, December 2, 2021, I found a pocket knife on the floor in the Aldi store in Burlington.  I asked if the store had a lost and found and was told that they don't have one.  I'm trying to return this to its owner.    "
206,Lost Shihtzu Male 11yrs old,"His name is Gizmo. He is a small shorthaired shihtzu. He has been missing since 7pm, Thursday, November 25th. My kids and I are extremely worried and have been looking everyday with no luck. If you see him please contact me. Thankyou so much!    "
207,found gear shifter,looks like tractor shifter found at mobil 48th portsheldon 11 28    
208,ASSISTANT,"I need trust and reliable person to be my Assistant, the job is remote because you can do it from home anywhere and he/she will be base on weekly allowance of $650 and other benefits attached as well, assistant is urgently needed kindly text me directly on  show contact info
 thanks....    "
209,URGENT,"I need trust and reliable person to be my Assistant, the job is remote because you can do it from home anywhere and he/she will be base on weekly allowance of $650 and other benefits attached as well, assistant is urgently needed kindly text me directly on  show contact info
 thanks....    "
210,$650 weekly,"I need trust and reliable person to be my Assistant, the job is remote because you can do it from home anywhere and he/she will be base on weekly allowance of $650 and other benefits attached as well, assistant is urgently needed kindly text me directly on  show contact info
 thanks....    "
211,Missing cat,"Has been missing for about 3 months. Last seen on Liberty Blvd and surrounding streets. He is neutered and microchipped. Was wearing a blue collar. Black/gray with some tan and white chin. Green eyes. Please help me find him. Miss him so much.  show contact info
"
212,Missing Puppy,"$500 Cash Reward NO QUESTIONS ASKED 

Corgi Mix Puppy Named Winnie Cooper. She is very sweet and friendly but maybe shy of new people. She is small, brown, and has a nub tail. She went missing on October 31st around 6 pm from the Nick Nackery. If you have seen her, please contact Dan.    "
213,Stolen bikes,"Yellow schwinn bike and red bike stolen from my yard. 

"
214,Valuable item found,If you lost a valuable item 11/16/21 contact me with a description. There is no need to contact me unless you have a description.    
215,Found,Found the owner of the mens jeans I found yesterday. Man them some jeans.    
216,EAR BUDS,"I lost a pair of wireless ear buds in Panera.  Will you please return them if you found them?
"
217,LOST CAT - REWARD !,"13 year old male tabby, brown with typical markings ... black stripes, white chin, green eyes, distinctive ""M"" pattern on forehead, approx. 14 lbs. Neutered and his front paws are declawed. Not wearing any type of collar.

Non-aggressive behavior; however quite skittish around strangers. Typically will run when confronted. Please do not chase as this may cause him to run in fear.

South Katie Drive, Oak Creek, WI.  53154

Nearby roads: East Twin Oaks Drive, East Sommers Drive, East Bridlewood Lane, South Shepard Avenue, East Oakwood Road

Went missing on Easter Sunday, April 4th.

His name is Rocky.    "
218,Reward lost buff tabby cat,"Lost buff tabby cat missing 7/06/2020 from Blackford Ave near 41. . He got out during  neighbors fireworks. I've had him since he was a baby. He's never been gone before. He's a neutered buff colored tabby hes short haired male cat. Whitey Ford is his name.    show contact info
"
219,Black long hair cat,"Lost Monday 10/25  around Kalamazoo Ave and 100th street.  Very friendly, named Baby and will come if called.    "
220,Item found at a storage facility,"If you lost an item at a storage facility let me know. 
Include a picture and description 
Tell me which facility you lost it in. 


"
221,Chiweinie,Male 9lbs black and tan. Reward for his safe return. Went missing the evening of the 4th . Running fields close to weston ohio off rangeline.    
222,Missing dog. REWARD,"Our family pet has disappeared again. Reward for her safe return! Red Setter, smaller, has collar and tag. 
Help her come home! She is not a runner, but has disappeared again. 

REWARD for her safe return. NO questions asked! We just want her home!    "
223,Shiba Inu missing,"Hello,

My Shiba Inu was taken on Sunday in Milwaukee. Offering a reward for her safe return. Please call or text us.  show contact info
"
224,Lost Grey Cat,"Lost solid grey neutered male cat, near Dibble Elementary on Kibby.    "
225,Missing dog,"I’m missing a Boston Terrier last seen in Arcadia Ohio has 3 legs one missing in the back if found pls contact  show contact info
"
226,"Cat lost, so is family without him.","""Kitty"", our beloved family cat, disappeared on Oct. 22.  He's missed so much here we are miserable without him.  Please help us make our family complete again.
We ARE getting leads of cats that look similar... so far no Kitty though.  We also have cameras outside the house and are getting frequent and repeat visiting cats... but not ours yet.  

Experts say it can take months... we are not giving up.  We're asking YOU not to give up either!  Thank  you...... :)    "
227,"Lost 17 year old missing cat (Jenison, MI)","Reposting this hoping for a different outcome. Lost gray/tan Bengal cat. Female and has been lost since Monday October 4 from 8th Ave/old Port Sheldon area. Was last seen 10/6 near Kenowa and Ravenswood SW on a security camera. She's always been inside so this must be scary for her. We are so worried! She's a small gal with a rollie-pollie belly but may have lost weight. Her name is Asia and we have no clue if she's eaten or had any water. It's been 6 weeks. She's never spent one night outside, so imagine. If anyone has seen her, please contact me asap! We can be there within 15-20 minutes to pick her up.    "
228,Lost dog (definitely beagle),Found Near Dollar general in Horton on Moscow. Was said by someone at DG to be running with a golden retriever for some time beforehand. Have at my house in southwest side of city and am going to bulletin vets with pictures.    
229,lost silver ring,"plain hammered silver ring with a slight nick in the edge -- it was made from an old silver quarter and ""liberty  1958"" is still somewhat legible on the inside of the band. 

possibly lost at woodland mall, walmart goodwill or meijer near 54th and division, or grandville goodwill at ivanrest or wyoming goodwill at 28th & clyde park.

$50 reward if found    "
230,Missing Black Lab Mix,"Missing black lab / german shepherd mix. West side neighborhood near Mast Golf and Divinity Salon. 12 year old female, mostly blind. Answers to Onyx or Onnie.
If found, please contact Crystal @ 4one48five8seven.    "
231,FOUND DOG  tonite near 44th & Clyde Park,"Managed to get young dog into vehicle Dog not happy in Kennel. 
owner must identify for me to relinquish. Dog will go to Kent County Animal Control tommorow as we have dogs and can not keep this dog long. Dog has collar and no tag


Can you HELP? Please copy and paste this  found ad on Next Door apps for 49519 and 49509 zip codes  if they are in those neighborhoods. 

616 477 seven nine 45 text anytime    "
232,Found female small white dog,Found in the middle of the road by Byron center and 36th street. Older female dog no id    
233,DOG FOUND,Young tri color Beagle with camouflage snap collar found 6430 N Highway 259 Hardinsburg ky 40143. Can't hold for long. Have my own dogs. Will be taking to Breckenridge County Vet in the morning at 9 am. Looking for anyone who may know of this dogs home. Very well behaved and friendly.    
234,if u picked up a pink wallet in Shep kroger tonight,"I don't even care about the money, tho the cards are locked/empty, but just please don't toss it.  There are some sentimental things in there I can't replace.  You can drop it off at the address on the ID no questions asked or return it to the same Kroger, same deal, they have my info.

Please.    "
235,2700.00 FOR RETURN OF LOST SERVICE DOG,"LOST LONG HAIRED BROWN AND WHITE DASHOUND SERVICE DOG THAT IS REGISTERED AND A SERVICE DOG TO A CHILD.
MISSING FOR 6 MONTHS NOW
PLEASE RETURN AND CLAIM REWARD NO QUESTIONS ASKED


"
236,Lost Tablet,"I am looking for my sons tablet that has fallen off of my husbands car on Nov. 24th. It's an Amazon Fire kids 8 tablet with a light blue rubber case. If anyone has found it, please contact me asap. My son used that tablet for learning and speaking.    "
237,Lost chiuaha,Fawn colored white chest    
238,Min pin  $500 REWARD,Very small male min pin last seen on 32nd and homecrest.st at 3pm. On tuesday in Wyoming.dear family member and companion .please call and return if you find Him .there is a $500 cash$ reward no questions asked. Call or text 616 888 seventeen seventy four. Or call number on sign please thank you    
239,Found AirPods,"Found airpods on the sidewalk somewhere around 60th and eastern

If you can describe if it had a case or not and anything else or prove that your device is paired with them then we can arrange how i can get your airpods back to you 

Thanks and they are safe until the owner is found    "
240,Found - JBL wireless headphone,Found a JBL wireless headphone on Howell Avenue across from Humboldt Park. It's missing its partner. `    
241,Lost wallet,"Lost black wallet while working deliveries

Holland
Douglas
Saugatuck area

"
242,Found Dog (remains in Maumee river),"I found the remains of a dog that possibly drowned in the Maumee River. I am posting and hoping that a family gets some closure. The dog is black and white in a brindle way. No collar. Not decomposed yet. The dog is ""medium"" sized and looks like it could be a coon dog or pit bull or somewhere in between. If you lost a dog along the river somewhere between Toledo an Fort Wayne, please let me know and I will send you gps coords. Definitely a long shot. If you can send me a pic of your pet then I will let you know if similar.    "
243,Found Dog (remains in Maumee River),"I found the remains of a dog that possibly drowned in the Maumee River. I am posting and hoping that a family gets some closure. The dog is black and white in a brindle way. No collar. Not decomposed yet. The dog is ""medium"" sized and looks like it could be a coon dog or pit bull or somewhere in between. If you lost a dog along the river somewhere between Toledo an Fort Wayne, please let me know and I will send you gps coords. Definitely a long shot. If you can send me a pic of your pet then I will let you know if similar.    "
244,Missing Cat,"Cat missing since 11/24.  Reward if found! Special needs child missing his cat very much!
Has Microchip and ear clipped. 
Please text if you have seen her.
"
245,Lost cat - orange longhair,"My orange cat, Diego, ran away today (Nov 21st). He does not have a collar, but is microchipped. Please call me if you find a cat that looks like him. He likes cat toys and treats! 

"
246,REWARD:Lost Husky,Male black and white 3 yr old husky. Grey collar. Blue eyes. Please help use bring our boy home    
247,lost package at Temptations,Mature woman pulling out of store parking lot and a shopping bag fell off the roof of your car. Describe the contents    
248,*FOUND Ring*,"My mother found this ring on Saturday Sept 4th at Fuji Buffet and Grill located on 28th ST SE in Kentwood/Grand Rapids.
Text to verify, no clues given. Sorry!    "
249,*FOUND Ring*,"My mother found this ring on Saturday Sept 4th at Fuji Buffet and Grill located on 28th ST SE in Kentwood/Grand Rapids.
Text to verify, no clues given. Sorry!    "
250,Stolen Unicycles,"Hi all, someone stole both of these unicycles out my vehicle, if anyone has any idea where they are, I will gladly give a reward to get them back! I cherish these greatly please reach out via email if you can.    "
251,Lost Boston Terrier,"Lost dog…  owner is new to area and out searching. Near Chadwick NE by Northview Contact  show contact info
.    "
252,Lost dog,"Lost beagle 
Answers to lady
Last seen in vinegrove wearing a blue harness
Senior 
Very friendly    "
253,Missing Cat,"Our cat went missing on September 21st. Please message, if you seen him. His name  is Elmo.    "
254,Lost  Gray Cat 90th National area,"I lost my cat on the 21st of Oct. in the area of 90th and National. She is a female and i think shes sick. She is mostly gray with some darker streaks. She is very skinny and you feel her bones when picked up, as she is sick. Sorry no piccs.  Reward if found. Call 414-488-554five. Thanks    "
255,Missing Cat,"Our cat went missing on September 21st. Please message, if you seen him. His name  is Elmo.    "
256,Missing Black & White Cat,"Kasper is missing. He got out around 10pm (Friday the 22nd). He lives on the NW side of downtown GR, last seen on the corner of 7th and McReynolds. He has special needs and has a strict prescription diet, and could have kidney failure if he eats other things. No collar but he is microchipped with my information. Please share in as many places applicable, and message me with any information. I just want my boy home safe and with his family.    "
257,LOST DOG,Chihuahua white and cream by loves truck stop st rt 35/71 Jeffersonville Ohio on 8/25 text email or call please    
258,Medium Black wallet,"I was at the Mobil gas station ⛽ on the corner of Leonard and Alpine. Getting ready to leave on my bike a friend of mine set my wallet on top of the vehicle, and I'm guessing when he pulled out the wallet fell off.
 If  somebody picked it up . I would not be upset at all just please return my wallet.
 I'm begging you!!! 

 I'd  be so thankful.  You can  reach me at  show contact info
 at any time
it also has my ID Amanda DeWitt if you were in that area and happened to find a wallet or see it can you please contact me .

Please help. 
Thank you.    "
259,Onewheel electric skateboard **Stolen**,"Heya everyone. My car was broken into tonight near Plainfield and Leonard. It was immobile and I'd been staying in it while trying to save up for a place before snow falls..

My onewheel electric skateboard was stolen, which was my only form of transportation for work.. and since it's pretty easily identifiable, I'm asking for help in locating it. If you see it around town, please don't hesitate to call police. 

Thoughts and prayers appreciated as well.    "
